Date,S&P_EUROPE_350,S&P_Europe_350_Dividend_Aristocrats,S&P_EURO_PLUS,S&P_Euro_50_Equal_Weight,S&P_Euro_75,S&P_EURO_PLUS,S&P_Germany_LargeMidCap
30/10/2009,1375.42,134.55,1497.23,935.91,87.71,1497.23,402.99
02/11/2009,1380.58,133.83,1503.75,942.14,88.26,1503.75,403.78
03/11/2009,1364.66,133.47,1480.41,926.24,86.73,1480.41,397.79
04/11/2009,1387.48,136.21,1506.88,942.62,88.23,1506.88,404.31
05/11/2009,1396.12,136.94,1519.32,952.61,89.07,1519.32,407.08
06/11/2009,1398.83,137.22,1519.95,951.95,89.09,1519.95,407.82
09/11/2009,1425.31,139.25,1551.71,972.31,91.05,1551.71,417.63
10/11/2009,1423.11,138.71,1548.31,969.77,90.92,1548.31,415.86
11/11/2009,1430.14,139.03,1559.28,979.32,91.6,1559.28,419.82
12/11/2009,1432.17,139.62,1557.24,977.02,91.49,1557.24,419.16
13/11/2009,1439.27,140.93,1560.99,980.03,91.78,1560.99,420.65
16/11/2009,1460.96,142.68,1582.56,995.35,93.12,1582.56,429.57
17/11/2009,1454.4,142.35,1571.37,988.42,92.58,1571.37,427.57
18/11/2009,1450.86,141.81,1573.11,988.02,92.71,1573.11,428.44
19/11/2009,1427.58,139.43,1546.51,971.49,91.2,1546.51,422.38
20/11/2009,1416.01,138.17,1535.3,962.76,90.35,1535.3,419.18
23/11/2009,1445.83,140.1,1569.48,984.04,92.3,1569.48,429.25
24/11/2009,1436.76,139.48,1558.53,977.38,91.59,1558.53,426.39
25/11/2009,1443.19,139.57,1566.3,983.53,92.16,1566.3,428.57
26/11/2009,1396.82,135.61,1518.21,949.96,89.21,1518.21,414.18
27/11/2009,1412.36,136.91,1535.42,960.97,90.18,1535.42,419.58
30/11/2009,1392.51,134.28,1516.22,949.89,89.15,1516.22,415.06
01/12/2009,1429.05,137.83,1553.5,975.14,91.52,1553.5,426.33
02/12/2009,1435.94,139.05,1559.11,978.4,91.63,1559.11,426.85
03/12/2009,1433.46,138.65,1561.4,978.66,91.59,1561.4,426.11
04/12/2009,1449.17,140.04,1577.74,990.64,92.51,1577.74,429.48
07/12/2009,1443.35,139.91,1570.53,986.93,92.04,1570.53,427.11
08/12/2009,1420.23,137.77,1547.66,969.93,90.57,1547.66,419.91
09/12/2009,1407.15,136.21,1531.42,961.25,89.68,1531.42,416.8
10/12/2009,1420.4,137.69,1546.32,972.29,90.74,1546.32,421.5
11/12/2009,1427.97,138.62,1551.17,976.95,91.14,1551.17,425.14
14/12/2009,1439.59,139.23,1562.07,984.76,91.85,1562.07,428.53
15/12/2009,1440.05,139.62,1562.98,986.72,92.05,1562.98,429.15
