Dates,SX7315T Index,SX5U Index,SX5T Index,SX7T Index,SD3T Index,MSDEEMUN Index,SXXT Index,SX7315T Index,SX5TL Index,SXO7T Index,SXQD50R Index,SCXT Index,MCXT Index,SX5NFT Index,DJSZXAET Index,SXLV1T Index,SLVT Index,SXEDV5R Index,SX5TESG Index,SX5DU Index,SLGT Index,SCXU Index,SX5E Index,SX5EDHB Index,SX5EL Index,SX5EDFT Index,SX5HUN Index,SX5EDCHD Index,SXKP Index
01/01/2010,87.74,5033.61,4697.61,377.68,2587.72,113.94,425.8,87.74,4539.27,#N/A N/A,112.85,249.41,376.75,#N/A N/A,109.94,91.32,1544.56,183.85,#N/A N/A,134.81,1297.74,265.33,2964.96,139.66,1810.08,991.51,94.9,119.74,261.17
04/01/2010,89.55,5155.8,4781.32,385.51,2648.84,115.954,433.53,89.55,4700.88,#N/A N/A,114.53,255.24,384.07,#N/A N/A,111.91,92.52,1571.76,186.22,#N/A N/A,137.23,1314.54,273.26,3017.8,142.17,1872.88,997.53,96.6,121.87,263.63
05/01/2010,90.39,5138.68,4772.71,389.11,2669.41,116.1,434.19,90.39,4683.91,#N/A N/A,114.43,257.77,388.41,#N/A N/A,111.96,92.45,1571.4,186.38,#N/A N/A,136.99,1310.61,275.55,3012.36,141.91,1866.11,1015.63,96.42,121.64,263.15
06/01/2010,90.84,5123.75,4768.44,391.06,2676.91,116.22,434.7,90.84,4675.49,#N/A N/A,114.15,259.09,390.23,#N/A N/A,112.15,92.41,1572.27,185.88,#N/A N/A,136.86,1314.41,276.39,3009.66,141.78,1862.75,1017.75,96.33,121.54,261.85
07/01/2010,91.46,5098.08,4764.75,393.72,2675.5,116.163,434.61,91.46,4668.21,#N/A N/A,113.52,260.74,391.44,#N/A N/A,112.33,92.16,1570.94,185.21,#N/A N/A,136.76,1311.79,276.98,3007.34,141.67,1859.86,1023.73,96.25,121.45,257.75
08/01/2010,92.61,5115.54,4781.4,398.65,2692.1,116.55,436.16,92.61,4700.79,#N/A N/A,113.59,261.74,392.85,#N/A N/A,112.89,92.34,1577.57,185.46,#N/A N/A,137.24,1315.54,278.02,3017.85,142.18,1872.84,1036.57,96.59,121.86,255.99
11/01/2010,92.25,5181.36,4769.34,397.13,2697.64,116.351,435.38,92.25,4676.94,#N/A N/A,113.35,261.05,392.59,#N/A N/A,112.75,92.31,1577.69,184.93,#N/A N/A,136.89,1318.53,281.56,3010.24,141.81,1863.34,1035.02,96.37,121.55,254.26
12/01/2010,90.85,5121.68,4716.52,391.11,2648.1,114.954,430.14,90.85,4573.3,#N/A N/A,112.59,257.52,386.22,#N/A N/A,111.29,91.79,1560.11,183.69,#N/A N/A,135.35,1301.01,277.63,2976.89,140.24,1822.04,1032.74,95.28,120.21,253.88
13/01/2010,90.03,5113.01,4718.92,387.57,2659.76,115.188,431.04,90.03,4577.91,#N/A N/A,113.16,259.23,387.42,#N/A N/A,111.31,92.18,1556.72,184.18,#N/A N/A,135.43,1309.65,278.86,2978.41,140.32,1823.88,1031.52,95.33,120.27,255.15
14/01/2010,90.52,5120.38,4736.82,389.65,2683.71,115.726,433.07,90.52,4612.6,#N/A N/A,113.42,261.11,390.25,#N/A N/A,111.8,92.41,1562.72,184.65,#N/A N/A,135.95,1316.98,280.23,2989.71,140.85,1837.7,1031.53,95.7,120.73,254.87
