Security,Description,Category,Subcategory,Benchmark,Fees
SX7EEX GY Equity,iShares EURO STOXX Banks 30-15 UCITS ETF DE (Xetra),Equities,Exchange Traded Products,SX7315T Index,0.51
FEZ US Equity,SPDR EURO STOXX 50 ETF (U.S.),Equities,Exchange Traded Products,SX5U Index,0.29
SX5EEX GY Equity,iShares Core EURO STOXX 50 UCITS ETF DE (Xetra),Equities,Exchange Traded Products,SX5T Index,0.1
MSE FP Equity,Lyxor EURO STOXX 50 DR UCITS ETF Class Dist (Euronext Paris),Equities,Exchange Traded Products,SX5T Index,0.2
EUN2 GY Equity,iShares Core EURO STOXX 50 UCITS ETF EUR Dist (Xetra),Equities,Exchange Traded Products,SX5T Index,0.1
BNKE FP Equity,Lyxor EURO STOXX Banks DR UCITS ETF Class Acc (Euronext Paris),Equities,Exchange Traded Products,SX7T Index,0.3
IDVY NA Equity,iShares Euro Dividend UCITS ETF Class EUR DIST (Euronext Amsterdam),Equities,Exchange Traded Products,SD3T Index,0.4
EUE IM Equity,iShares Core EURO STOXX 50 UCITS ETF EUR Dist (Borsa Italiana),Equities,Exchange Traded Products,SX5T Index,0.1
XESC GY Equity,Xtrackers Euro Stoxx 50 UCITS ETF Class 1C (Xetra),Equities,Exchange Traded Products,SX5T Index,0.09
SD3EEX GY Equity,iShares EURO STOXX Select Dividend 30 UCITS ETF DE (Xetra),Equities,Exchange Traded Products,SD3T Index,0.31
BNKE IM Equity,Lyxor EURO STOXX Banks DR UCITS ETF Class Acc (Borsa Italiana),Equities,Exchange Traded Products,SX7T Index,0.3
XD5E GY Equity,Xtrackers MSCI EMU UCITS ETF Class 1D (Xetra),Equities,Exchange Traded Products,MSDEEMUN Index,0.12
IDJV LN Equity,iShares Euro Total Market Value Large UCITS ETF Class EUR DIST (London),Equities,Exchange Traded Products,SLVT Index,0.4
SXXEEX GY Equity,iShares EURO STOXX UCITS ETF DE (Xetra),Equities,Exchange Traded Products,SXXT Index,0.2
SXRT GY Equity,iShares Core EURO STOXX 50 UCITS ETF Class EUR ACC (Xetra),Equities,Exchange Traded Products,SX5T Index,0.1
IDVY LN Equity,iShares Euro Dividend UCITS ETF Class EUR DIST (London),Equities,Exchange Traded Products,SD3T Index,0.4
SX7EEX GR Equity,iShares EURO STOXX Banks 30-15 UCITS ETF DE (Germany),Equities,Exchange Traded Products,SX7315T Index,0.51
SX5EEX GR Equity,iShares Core EURO STOXX 50 UCITS ETF DE (Germany),Equities,Exchange Traded Products,SX5T Index,0.1
EUE LN Equity,iShares Core EURO STOXX 50 UCITS ETF EUR Dist (London),Equities,Exchange Traded Products,SX5T Index,0.1
IDVY IM Equity,iShares Euro Dividend UCITS ETF Class EUR DIST (Borsa Italiana),Equities,Exchange Traded Products,SD3T Index,0.4
CSX5 LN Equity,iShares Core EURO STOXX 50 UCITS ETF Class EUR ACC (London),Equities,Exchange Traded Products,SX5T Index,0.1
EUN2 GR Equity,iShares Core EURO STOXX 50 UCITS ETF EUR Dist (Germany),Equities,Exchange Traded Products,SX5T Index,0.1
ETDD FP Equity,BNP Paribas Easy EURO STOXX 50 UCITS ETF Class EUR C CAPITALISATION (Euronext Paris),Equities,Exchange Traded Products,SX5T Index,0.18
