Dates,SX7EEX GY Equity,FEZ US Equity,SX5EEX GY Equity,MSE FP Equity,EUN2 GY Equity,BNKE FP Equity,IDVY NA Equity,EUE IM Equity,XESC GY Equity,SD3EEX GY Equity,BNKE IM Equity,XD5E GY Equity,IDJV LN Equity,SXXEEX GY Equity,SXRT GY Equity,IDVY LN Equity,SX7EEX GR Equity,SX5EEX GR Equity,EUE LN Equity,IDVY IM Equity,CSX5 LN Equity,EUN2 GR Equity,ETDD FP Equity,LVE FP Equity,S7XE GY Equity,XESX GY Equity,IQQA GY Equity,XD3E GY Equity,SX5E SW Equity,ETFSX5E GY Equity,MSE IM Equity,XESC GR Equity,EUEA NA Equity,IUSR GY Equity,MFED FP Equity,DJSC IM Equity,CSSX5E IM Equity,SXXEEX GR Equity,S7XP LN Equity,IQQM GY Equity,XD5F GR Equity,XESX GR Equity,SDJE50 GR Equity,SXKEEX GY Equity,XESC IM Equity,CSSX5E SW Equity,SD3EEX GR Equity,SDJE50 GY Equity,XD5S LN Equity,FEZ UP Equity,S7XE GR Equity,ISX5 LN Equity,SUBEEX GY Equity,VX5E LN Equity,50E FP Equity,SX5EEX GT Equity,ZPRL GY Equity,E50EUA GR Equity,XD5E GR Equity
01/01/2010,22.09,41.48,30.04,29.7,29.85,#N/A N/A,18.625,29.91,31.17,17.5,#N/A N/A,#N/A N/A,2007.5,27.74,#N/A N/A,1657.5,22.08,30.04,2656,18.615,#N/A N/A,29.84,#N/A N/A,18.4,#N/A N/A,30.62,18.62,18.02,#N/A N/A,29.8,29.86,31.18,29.85,#N/A N/A,#N/A N/A,22.22,#N/A N/A,27.71,#N/A N/A,33.59,#N/A N/A,30.64,46.94,42.85,31.17,#N/A N/A,17.46,47,#N/A N/A,41.48,#N/A N/A,#N/A N/A,9.71,#N/A N/A,29.865,30.04,#N/A N/A,29.92,#N/A N/A
04/01/2010,22.56,42.9,30.55,30.345,30.39,#N/A N/A,19.015,30.31,31.69,17.89,#N/A N/A,#N/A N/A,2056.5,28.21,#N/A N/A,1706.5,22.5,30.5,2722,18.97,#N/A N/A,30.33,#N/A N/A,18.935,#N/A N/A,31.19,19.05,18.44,#N/A N/A,30.3,30.26,31.64,30.375,#N/A N/A,#N/A N/A,22.69,#N/A N/A,28.14,#N/A N/A,34.21,#N/A N/A,31.12,47.3,43.3,31.59,#N/A N/A,17.8,47.79,#N/A N/A,42.9,#N/A N/A,#N/A N/A,9.85,#N/A N/A,30.365,30.55,#N/A N/A,30.37,#N/A N/A
05/01/2010,22.78,42.7,30.43,30.25,30.26,#N/A N/A,19.15,30.26,31.57,18.04,#N/A N/A,#N/A N/A,2063,28.24,#N/A N/A,1723.5,22.81,30.41,2724,19.155,#N/A N/A,30.31,#N/A N/A,18.795,#N/A N/A,31.06,19.16,18.59,#N/A N/A,30.17,30.28,31.63,30.265,#N/A N/A,#N/A N/A,22.92,#N/A N/A,28.26,#N/A N/A,34.52,#N/A N/A,31.12,47.74,43.16,31.61,#N/A N/A,17.98,47.6,#N/A N/A,42.7,#N/A N/A,#N/A N/A,9.86,#N/A N/A,30.245,30.43,#N/A N/A,30.4,#N/A N/A
06/01/2010,22.89,42.64,30.42,30.25,30.28,#N/A N/A,19.245,30.23,31.59,17.98,#N/A N/A,#N/A N/A,2062.5,28.27,#N/A N/A,1730.5,22.82,30.37,2720,19.22,#N/A N/A,30.21,#N/A N/A,18.825,#N/A N/A,31.07,19.23,18.62,#N/A N/A,30.2,30.24,31.51,30.285,#N/A N/A,#N/A N/A,23.07,#N/A N/A,28.19,#N/A N/A,34.73,#N/A N/A,31,47.53,42.9,31.57,#N/A N/A,17.98,47.62,#N/A N/A,42.64,#N/A N/A,#N/A N/A,9.89,#N/A N/A,30.27,30.42,#N/A N/A,30.33,#N/A N/A
07/01/2010,23.06,42.51,30.4,30.205,30.25,#N/A N/A,19.22,30.24,31.55,18.06,#N/A N/A,#N/A N/A,2061,28.28,#N/A N/A,1729,23.06,30.44,2720,19.23,#N/A N/A,30.27,#N/A N/A,18.755,#N/A N/A,31.06,19.23,18.6,#N/A N/A,30.15,30.23,31.58,30.23,#N/A N/A,#N/A N/A,23.19,#N/A N/A,28.29,#N/A N/A,34.8,#N/A N/A,31.04,47.46,42.39,31.58,#N/A N/A,18.07,47.56,#N/A N/A,42.51,#N/A N/A,#N/A N/A,9.865,#N/A N/A,30.21,30.4,#N/A N/A,30.35,#N/A N/A
08/01/2010,23.35,42.84,30.5,30.3,30.33,#N/A N/A,19.34,30.34,31.65,18.21,#N/A N/A,#N/A N/A,2067,28.38,#N/A N/A,1738.5,23.39,30.49,2725,19.36,#N/A N/A,30.31,#N/A N/A,18.865,#N/A N/A,31.15,19.36,18.71,#N/A N/A,30.25,30.34,31.7,30.33,#N/A N/A,#N/A N/A,23.23,#N/A N/A,28.4,#N/A N/A,34.9,#N/A N/A,31.07,47.74,42.07,31.7,#N/A N/A,18.16,47.72,#N/A N/A,42.84,#N/A N/A,#N/A N/A,9.855,#N/A N/A,30.295,30.5,#N/A N/A,30.47,#N/A N/A
11/01/2010,23.26,43.1,30.44,30.26,30.27,#N/A N/A,19.39,30.28,31.58,18.22,#N/A N/A,#N/A N/A,2069.5,28.33,#N/A N/A,1743,23.27,30.46,2722,19.395,#N/A N/A,30.27,#N/A N/A,18.83,#N/A N/A,31.08,19.4,18.78,#N/A N/A,30.18,30.25,31.58,30.295,#N/A N/A,#N/A N/A,23.3,#N/A N/A,28.32,#N/A N/A,34.94,#N/A N/A,31.08,47.97,41.56,31.58,#N/A N/A,18.16,47.61,#N/A N/A,43.1,#N/A N/A,#N/A N/A,9.89,#N/A N/A,30.265,30.44,#N/A N/A,30.36,#N/A N/A
12/01/2010,22.91,42.35,30.04,29.86,29.9,#N/A N/A,19.04,29.96,31.2,17.89,#N/A N/A,#N/A N/A,2042.5,27.99,#N/A N/A,1709,22.89,29.94,2687,19.07,#N/A N/A,29.92,#N/A N/A,18.365,#N/A N/A,30.7,19.4,18.42,#N/A N/A,29.81,29.96,31.07,29.91,#N/A N/A,#N/A N/A,22.98,#N/A N/A,27.97,#N/A N/A,34.34,#N/A N/A,30.72,47.05,41.53,31.26,#N/A N/A,17.8,47.02,#N/A N/A,42.35,#N/A N/A,#N/A N/A,9.68,#N/A N/A,29.875,30.04,#N/A N/A,30.01,#N/A N/A
13/01/2010,22.69,42.75,30.13,29.945,29.98,#N/A N/A,19.14,29.96,31.26,17.98,#N/A N/A,#N/A N/A,2020,28.05,#N/A N/A,1702,22.62,30.23,2667,19.115,#N/A N/A,30.07,#N/A N/A,18.445,#N/A N/A,30.77,19.13,18.52,#N/A N/A,29.88,29.95,31.46,29.99,#N/A N/A,#N/A N/A,23.08,#N/A N/A,28.17,#N/A N/A,34.48,#N/A N/A,30.87,46.94,41.68,31.25,#N/A N/A,18.12,47.13,#N/A N/A,42.75,#N/A N/A,#N/A N/A,9.775,#N/A N/A,29.855,30.13,#N/A N/A,30,#N/A N/A
14/01/2010,22.83,42.94,30.25,30.075,30.09,#N/A N/A,19.31,30.06,31.4,18.14,#N/A N/A,#N/A N/A,2022,28.18,#N/A N/A,1713,22.76,30.31,2669,19.28,#N/A N/A,30.04,#N/A N/A,18.605,#N/A N/A,30.92,19.32,18.69,#N/A N/A,30.02,30.02,31.5,30.11,#N/A N/A,#N/A N/A,23.26,#N/A N/A,28.3,#N/A N/A,34.75,#N/A N/A,30.9,47.28,41.59,31.35,#N/A N/A,18.1,47.35,#N/A N/A,42.94,#N/A N/A,#N/A N/A,9.82,#N/A N/A,29.985,30.25,#N/A N/A,30.14,#N/A N/A
15/01/2010,22.29,41.63,29.7,29.525,29.57,#N/A N/A,19.035,29.62,30.84,17.91,#N/A N/A,#N/A N/A,1984.5,27.77,#N/A N/A,1685,22.3,29.7,2615,19.085,#N/A N/A,29.59,#N/A N/A,17.935,#N/A N/A,30.35,19.04,18.44,#N/A N/A,29.47,29.6,30.82,29.55,#N/A N/A,#N/A N/A,23.01,#N/A N/A,27.78,#N/A N/A,34.35,#N/A N/A,30.37,46.53,41.18,30.86,#N/A N/A,17.65,46.49,#N/A N/A,41.63,#N/A N/A,#N/A N/A,9.7,#N/A N/A,29.435,29.7,#N/A N/A,29.69,#N/A N/A
18/01/2010,22.25,41.63,29.87,29.705,29.74,#N/A N/A,19.12,29.75,31.02,17.99,#N/A N/A,#N/A N/A,1982.5,27.92,#N/A N/A,1685,22.2,29.88,2619,19.175,#N/A N/A,29.75,#N/A N/A,18.14,#N/A N/A,30.52,19.14,18.54,#N/A N/A,29.65,29.73,31.03,29.75,#N/A N/A,#N/A N/A,23.16,#N/A N/A,27.9,#N/A N/A,34.42,#N/A N/A,30.53,46.79,40.72,31.04,#N/A N/A,17.96,46.78,#N/A N/A,41.63,#N/A N/A,#N/A N/A,9.7,#N/A N/A,29.61,29.87,#N/A N/A,29.86,#N/A N/A
