Dates,NDDLE15 Index,SX5T Index,STGPREZU Index,MXEU Index,SXXT Index,M7EM Index,MXEM Index,NE700862 Index,MSDEEMUN Index,NDDLEMU Index,DJST Index,SX5E Index,MSDUEMU Index,FTAW12 Index,LCXE Index,M1EU Index,MSDEE15N Index
01/01/2010,3381.503,4697.61,145.87,88.28,425.8,113.94,89.7,#N/A N/A,113.94,208.507,2964.96,2964.96,180.458,223.49,292.58,4336.62,115.347
04/01/2010,3438.786,4781.32,149.14,89.57,433.53,115.95,91.28,#N/A N/A,115.954,212.193,3017.8,3017.8,184.805,228.74,297.74,4427.73,117.028
05/01/2010,3443.315,4772.71,148.68,89.54,434.19,116.1,91.39,#N/A N/A,116.1,212.459,3012.36,3012.36,184.755,228.54,297.61,4419.87,116.999
06/01/2010,3445.389,4768.44,148.49,89.63,434.7,116.22,91.49,#N/A N/A,116.22,212.678,3009.66,3009.66,184.574,228.37,297.74,4415.42,117.117
07/01/2010,3444.151,4764.75,147.77,89.63,434.61,116.16,91.44,#N/A N/A,116.163,212.575,3007.34,3007.34,183.702,227.48,297.41,4396.83,117.12
08/01/2010,3456.462,4781.4,148.06,90,436.16,116.55,91.74,#N/A N/A,116.55,213.283,3017.85,3017.85,184.296,228.5,298.46,4414.29,117.594
11/01/2010,3454.78,4769.34,150.02,89.9,435.38,116.35,91.59,#N/A N/A,116.351,212.919,3010.24,3010.24,186.816,232.41,297.89,4477.79,117.473
12/01/2010,3420.857,4716.52,148.2,89.06,430.14,114.95,90.48,#N/A N/A,114.954,210.361,2976.89,2976.89,184.479,229.6,294.5,4434.15,116.38
13/01/2010,3420.647,4718.92,148.42,89.24,431.04,115.19,90.66,#N/A N/A,115.188,210.791,2978.41,2978.41,184.449,229.56,294.99,4433.05,116.608
14/01/2010,3439.509,4736.82,148.83,89.89,433.07,115.73,91.09,#N/A N/A,115.726,211.775,2989.71,2989.71,184.876,230.52,296.22,4455.24,117.467
15/01/2010,3401.494,4658.45,145.73,89.04,426.95,114.1,89.81,#N/A N/A,114.097,208.795,2940.25,2940.25,180.946,226.17,291.76,4380.85,116.354
18/01/2010,3419.921,4686.38,146.76,89.66,429.05,114.66,90.25,#N/A N/A,114.659,209.823,2957.87,2957.87,182.039,227.72,293.36,4416.24,117.163
19/01/2010,3438.083,4729.07,147.02,90.39,432.18,115.5,90.91,#N/A N/A,115.504,211.368,2984.82,2984.82,182.066,227.43,295.76,4420.46,118.121
20/01/2010,3378.551,4617.82,142.56,88.99,423.43,113.16,89.07,#N/A N/A,113.158,207.076,2914.6,2914.6,176.296,220.87,289.4,4301.91,116.305
21/01/2010,3332.325,4536.47,139.87,87.74,416.87,111.4,87.68,#N/A N/A,111.395,203.849,2863.25,2863.25,172.806,217.18,284.64,4223.3,114.671
22/01/2010,3305.165,4494.56,139.47,86.77,413.12,110.43,86.91,#N/A N/A,110.427,202.078,2836.8,2836.8,172.201,215.96,282.23,4198.35,113.397
25/01/2010,3279.921,4447.82,138.31,86.17,409.76,109.49,86.17,#N/A N/A,109.487,200.357,2807.3,2807.3,171.06,214.79,279.45,4177.37,112.615
26/01/2010,3292.676,4480.2,138.09,86.59,411.77,110.07,86.63,#N/A N/A,110.07,201.425,2827.74,2827.74,170.775,213.81,281.18,4168.37,113.16
27/01/2010,3260.313,4419.03,136.44,85.83,406.73,108.71,85.53,#N/A N/A,108.713,198.942,2787.4,2787.4,168.4,211.71,277.42,4128.19,112.2
28/01/2010,3220.54,4339.65,133.7,84.86,401.06,107.2,84.34,#N/A N/A,107.198,196.169,2737.33,2737.33,165.095,208.32,273.03,4058.06,110.934
29/01/2010,3253.143,4402.28,134.92,85.7,406.1,108.6,85.44,#N/A N/A,108.596,198.727,2776.83,2776.83,166.523,209.94,276.81,4080.39,112.03
01/02/2010,3281.551,4430.75,135.6,86.21,408.93,109.32,85.98,#N/A N/A,109.32,200.053,2793.29,2793.29,167.526,211.25,278.49,4104.01,112.711
02/02/2010,3311.971,4488.98,137.69,87,413.92,110.62,87,#N/A N/A,110.625,202.44,2830.01,2830.01,170.208,214.39,281.83,4158.76,113.756
03/02/2010,3293.719,4448.7,136.43,86.51,410.44,109.69,86.27,#N/A N/A,109.693,200.735,2804.61,2804.61,168.308,212.62,279.44,4125.5,113.155
04/02/2010,3204.315,4294.59,131.1,84.19,397.1,106.15,83.48,#N/A N/A,106.151,194.253,2707.45,2707.45,161.31,204.24,270.27,3976.35,110.121
05/02/2010,3137.711,4174.34,126.84,82.4,386.9,103.45,81.36,#N/A N/A,103.451,189.312,2631.64,2631.64,155.959,197.73,263.25,3860.87,107.779
08/02/2010,3159.721,4226.13,128.29,82.95,389.77,104.24,81.97,#N/A N/A,104.237,190.75,2664.29,2664.29,157.494,199.27,265.86,3895.16,108.494
09/02/2010,3168.621,4232.69,128.82,83.05,390.99,104.57,82.24,#N/A N/A,104.573,191.365,2668.43,2668.43,158.399,200.45,266.5,3910.09,108.636
10/02/2010,3189.943,4283.79,129.58,83.63,395.13,105.66,83.08,#N/A N/A,105.661,193.356,2700.17,2700.17,159.597,201.28,269.29,3929.51,109.471
11/02/2010,3191.602,4252.19,128.47,83.93,392.79,105.02,82.58,#N/A N/A,105.024,192.19,2680.25,2680.25,157.563,199.71,267.44,3916.8,109.858
12/02/2010,3180.538,4243,128.33,83.69,391.26,104.64,82.28,#N/A N/A,104.639,191.487,2674.46,2674.46,157.033,198.93,266.59,3906.78,109.545
15/02/2010,3189.876,4257.86,128.5,84.02,392.17,104.91,82.5,#N/A N/A,104.912,191.985,2683.83,2683.83,157.273,199.35,267.35,3918.05,109.978
16/02/2010,3230.385,4316.47,130.99,84.88,397,106.19,83.5,#N/A N/A,106.187,194.319,2720.77,2720.77,160.433,203.31,270.86,3989.2,111.105
17/02/2010,3265.831,4382.28,132.09,85.99,402.52,107.65,84.65,#N/A N/A,107.652,197,2762.25,2762.25,162.082,205.25,274.63,4029.11,112.607
18/02/2010,3288.965,4407.74,132.69,86.51,404.62,108.23,85.11,#N/A N/A,108.233,198.063,2778.3,2778.3,162.611,205.85,276.09,4045.03,113.293
19/02/2010,3311.291,4431.96,132.37,86.92,407,108.89,85.62,#N/A N/A,108.888,199.261,2793.37,2793.37,162.23,205.63,277.74,4030.44,113.828
22/02/2010,3302.341,4407.76,132.43,86.68,405.47,108.45,85.27,#N/A N/A,108.452,198.463,2778.12,2778.12,162.518,206.22,276.36,4042.93,113.521
23/02/2010,3264.733,4332.32,130.31,85.65,399.18,106.76,83.95,#N/A N/A,106.764,195.375,2730.57,2730.57,159.748,203.13,271.85,3988.82,112.171
24/02/2010,3275.728,4339.26,130.87,85.87,399.44,106.89,84.04,#N/A N/A,106.886,195.597,2734.95,2734.95,160.36,203.93,272.14,4010.68,112.483
25/02/2010,3230.026,4259.1,127.75,84.5,392.42,104.99,82.55,#N/A N/A,104.989,192.127,2684.42,2684.42,156.543,199.59,267.16,3922.17,110.684
26/02/2010,3274.991,4328.99,130.65,85.37,398.48,106.61,83.83,#N/A N/A,106.609,195.091,2728.47,2728.47,160.415,204.24,271.36,3999.2,111.833
01/03/2010,3319.971,4399.16,131.21,86.36,405,108.35,85.2,#N/A N/A,108.352,198.281,2772.7,2772.7,161.025,205.06,275.88,3995.55,113.127
02/03/2010,3355.722,4436.65,133.23,87.04,408.95,109.4,86.02,#N/A N/A,109.401,200.201,2796.33,2796.33,163.557,208.04,278.52,4053.29,114.072
