Dates,ACMESIE LX Equity,RCMSTYL LX Equity,ALEPTEU LX Equity,AEEI2EC LX Equity,CAIXEIA LX Equity,AXWEOFC LX Equity,AXWECEI LX Equity,MEREMAI LX Equity,ETDD FP Equity,CSEMICE LX Equity,CSESDBEL LX Equity,CSIEEDE LX Equity,PAMEULF BB Equity,DIICEIC LX Equity,DWSTEFC LX Equity,STHOPMI FP Equity,FIDFEBI LX Equity,FJ2C GR Equity,GEQ50AD LX Equity,HSBEURQ LX Equity,HSBCLGI LX Equity,BGEURAX LX Equity,HENEUDI LX Equity,JPEDCAC LX Equity,FLEEUEC LX Equity,SGEURIE LX Equity,METVSRI FP Equity,MEZEI1E ID Equity,NATISRI LX Equity,MOREFAI LX Equity,INGEHDI LX Equity,PIPTFEI LX Equity,SIEEACE LX Equity,SSEIIEU LX Equity,SSGFESI LX Equity,TEMGRIA LX Equity,UBSEITL LX Equity,UECIEQD LX Equity,UGEURSA LX Equity,VANESII ID Equity
25/10/2010,15.3,9.47,#N/A N/A,4.81,1040.04,44.05,134.58,16.4,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,102.57,139.19,123.27,129.91,14.62,8.565,#N/A N/A,27.186,11.093,85.88,22.37,#N/A N/A,12.96,823.9836,217.67,99.31,46247.35,7.73,387.42,109.97,74.67,7.3078,#N/A N/A,11.21,55.79,#N/A N/A,#N/A N/A,116.2349
26/10/2010,15.21,9.38,#N/A N/A,4.79,1038.11,43.94,134.24,16.19,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,102.39,138.91,121.85,129.3,14.54,8.465,#N/A N/A,27.066,11.05,85.92,22.34,#N/A N/A,12.8,819.8608,216.21,98.91,45979.08,7.64,386.2,109.77,74.67,7.2684,#N/A N/A,11.17,55.71,#N/A N/A,#N/A N/A,115.8532
27/10/2010,15.14,9.35,#N/A N/A,4.76,1030.59,43.65,133.27,16.21,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,101.61,138.02,121.95,128.4,14.44,8.41,#N/A N/A,26.807,10.945,85.9,22.31,#N/A N/A,12.83,813.0071,214.04,98.19,45552.48,7.67,383.71,108.98,74.67,7.2068,#N/A N/A,11.08,55.13,#N/A N/A,#N/A N/A,114.864
28/10/2010,15.21,9.36,#N/A N/A,4.77,1034.86,43.85,134.03,16.16,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,102.07,138.73,121.91,128.51,14.51,8.42,#N/A N/A,26.882,10.971,85.65,22.3,#N/A N/A,12.81,816.4679,214.54,98.61,45732.36,7.66,386.06,109.42,75.03,7.2393,#N/A N/A,11.13,55.34,#N/A N/A,#N/A N/A,115.3798
29/10/2010,15.17,9.31,#N/A N/A,4.76,1035.27,43.85,133.93,16.12,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,102.1,138.38,121.56,128.74,14.5,8.46,#N/A N/A,27.036,11.007,85.48,22.15,#N/A N/A,12.79,815.7698,214.33,98.63,45684.61,7.65,386.27,109.45,75.03,7.2317,#N/A N/A,11.12,55.28,#N/A N/A,#N/A N/A,115.2688
01/11/2010,15.17,9.31,#N/A N/A,4.76,1035.27,43.85,133.93,16.12,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,102.1,138.38,121.56,128.74,14.5,8.425,#N/A N/A,27.036,11.007,85.48,22.15,#N/A N/A,12.83,815.7698,215.33,98.72,45684.61,7.65,386.27,109.62,75.03,7.2317,#N/A N/A,11.12,55.28,#N/A N/A,#N/A N/A,115.0273
02/11/2010,15.25,9.34,#N/A N/A,4.8,1041.67,44.11,134.94,16.19,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,102.98,139.54,122.47,129.36,14.57,8.44,#N/A N/A,26.989,11.03,85.32,22.39,#N/A N/A,12.85,819.9248,216.27,99.23,45973.48,7.71,388.05,110.11,75.03,7.2668,#N/A N/A,11.2,55.11,#N/A N/A,#N/A N/A,115.8257
03/11/2010,15.17,9.43,#N/A N/A,4.78,1038.02,44.05,134.11,16.25,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,102.68,138.64,122.62,128.96,14.48,8.44,#N/A N/A,26.819,10.937,85.7,22.39,#N/A N/A,12.85,813.252,215.86,98.62,45607.92,7.71,385.31,109.69,75.03,7.2082,#N/A N/A,11.1,54.69,#N/A N/A,#N/A N/A,114.8905
04/11/2010,15.39,9.48,#N/A N/A,4.85,1055.01,44.76,136.43,16.49,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,104.38,140.27,124.26,130.87,14.69,8.545,#N/A N/A,27.226,11.105,85.73,22.43,#N/A N/A,13.03,825.7337,219.52,99.91,46365.58,7.84,390.91,111.51,75.03,7.3174,#N/A N/A,11.25,55.5,#N/A N/A,#N/A N/A,116.63
05/11/2010,15.38,9.43,#N/A N/A,4.83,1059.45,45.11,136.31,16.53,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,104.29,140.2,124.51,131.21,14.64,8.55,#N/A N/A,27.097,11.078,86.24,22.4,#N/A N/A,13.01,823.5304,219.88,99.91,46279.46,7.84,389.79,111.99,75.03,7.2992,#N/A N/A,11.22,55.33,#N/A N/A,#N/A N/A,116.3393
