Dates,BE500 Index,SX5E Index,SX5P Index,SXXE Index,SXXP Index,EUETMP Index,E100 Index,E300 Index,MSER Index,MSPE Index,SPEURO Index,SPEU Index,BWORLDEU Index,N100 Index,N150 Index,FTEF80 Index,FTEFC1 Index,NTX Index,DAX Index,CDAX Index,HDAX Index,UKX Index,MCX Index,NMX Index,CAC Index,IBEX Index,SMI Index,FTSEMIB Index,OMX Index,MCXE Index
01/01/2010,177.71,2964.96,2585.33,274.74,253.89,207.5,2233.67,1045.76,878.7,854.21,1049.19,1175.92,129.07,683.76,1386.24,3773.09,3345.58,1157.41,5957.43,516.05,2995.26,5412.88,9306.89,2823.73,3936.33,11940,6545.91,23248.39,951.719,252.75
04/01/2010,180.32,3017.8,2622.54,279.71,257.65,211.91,2264.29,1060.73,893.93,866.56,1064.17,1196.68,131.47,696.99,1416.75,3839.33,3391.55,1184.23,6048.3,523.96,3043.35,5500.34,9510.11,2871.28,4013.97,12145.1,6631.44,23545.02,963.56,257.58
05/01/2010,180.4,3012.36,2616.89,280.14,257.59,214.69,2261.23,1060.42,893.41,865.55,1063.13,1197.54,131.44,697.57,1431.52,3837.39,3390.22,1204.03,6031.86,523.64,3040.12,5522.5,9557.09,2883.16,4012.91,12204.4,6579.26,23555.73,967.272,260.49
06/01/2010,180.8,3009.66,2617.35,280.47,257.96,214.86,2260.37,1061.01,894,866.32,1064.23,1198.74,131.83,698.27,1441.03,3839.16,3389.88,1206.04,6034.33,524.33,3043.79,5530.04,9589.53,2887.8,4017.67,12222.5,6559.41,23622.29,967.272,261.71
07/01/2010,180.79,3007.34,2617.88,280.41,258.04,213.52,2257.86,1060.15,892.85,865.87,1063.71,1197.83,131,697.76,1448.93,3835.25,3385.86,1195.94,6019.36,523.83,3039.63,5526.72,9630.38,2887.76,4024.8,12166.3,6555.36,23709.01,965.821,262.53
08/01/2010,181.63,3017.85,2629.34,281.41,259.15,215.73,2267.92,1065.03,895.98,869.46,1068.27,1202.12,131.88,701.38,1456.41,3848.57,3396.4,1204.86,6037.61,525.55,3050.55,5534.24,9689.05,2893.35,4045.14,12163,6617.88,23811.13,973.442,263.41
11/01/2010,181.53,3010.24,2623.85,280.89,258.81,219.44,2263.66,1063.82,894.61,868.39,1067.24,1200.06,133.52,700.72,1459.77,3839.12,3388.08,1233.55,6040.5,525.93,3051.41,5538.07,9726.44,2896.47,4043.09,12074.5,6592.26,23774.76,978.178,263.19
12/01/2010,179.73,2976.89,2603.58,277.5,256.38,216.65,2244.81,1053.93,884.3,860.73,1058.06,1185.88,132.6,693.5,1442.51,3796.86,3360.83,1220.43,5943,517.59,3001.91,5498.71,9603.47,2873.92,4000.05,11966.1,6541.9,23583.35,969.551,258.89
13/01/2010,180.24,2978.41,2602.17,278.08,256.96,217.4,2247.88,1056.49,885.68,862.04,1061.12,1188.32,132.55,694.44,1446.4,3801.48,3368.21,1229.64,5963.14,519.71,3014.7,5473.48,9569.52,2861.11,4000.86,11958.3,6554.55,23658.4,974.959,259.69
14/01/2010,181.54,2989.71,2620.44,279.38,258.84,218.3,2262.26,1063.53,889.31,868.29,1067.75,1193.46,133.39,696.32,1455.36,3815.31,3386.33,1241.45,5988.88,522.48,3030.81,5498.2,9568.03,2872.4,4015.77,11999.8,6627.42,23805.99,981.502,261.59
15/01/2010,179.63,2940.25,2589.86,275.44,256.44,217.43,2236.59,1052.24,875.92,859.61,1056.41,1175.93,131.43,687.7,1450.43,3755.4,3345.87,1233.91,5875.97,513.14,2975.1,5455.37,9538.2,2851.65,3954.38,11845,6576.02,23472.11,970.646,258.93
