Dates,S5INFT Index,S5HLTH Index,S5FINL Index,S5TELS Index,S5COND Index,S5INDU Index,S5CONS Index,S5ENRS Index,S5UTIL Index,S5RLST Index,S5MATR Index
01/01/2010,370.71,362.22,193.78,114.64,235.07,242.99,274.3,429.95,157.99,94.18,199.81
04/01/2010,376.46,367.26,197.79,116.42,236.46,247.11,277,442.08,158.33,93.79,205.36
05/01/2010,376.33,365.15,201.15,116.64,237.62,247.99,276.7,445.6,156.51,94.04,206.43
06/01/2010,373.03,366.89,202,113.17,237.59,248.49,276.35,450.2,157.28,93.84,209.57
07/01/2010,371.6,368.26,206.21,112.21,239.63,251.72,276.28,449.2,156.43,94.95,208.61
08/01/2010,374.53,369.35,205.09,111.7,239.6,255.56,274.87,451.47,156.23,93.72,210.75
11/01/2010,372.93,370.88,205.15,111.66,239.36,258.55,275.98,451.99,157.95,94.21,210.34
12/01/2010,368.66,368.62,201.88,111.21,236.37,256.48,277.45,445.74,157.36,92.45,206.27
13/01/2010,372.15,373.37,204.24,110.78,238.55,257.7,279.31,447.49,158.78,94.4,208.15
14/01/2010,374.72,376.41,205.54,108.8,238.65,257.55,279.16,448.26,158.29,94.04,206.13
15/01/2010,369.97,374.84,201.35,107.26,236.51,254.39,277.34,444.78,157.27,92.96,203.93
18/01/2010,369.97,374.84,201.35,107.26,236.51,254.39,277.34,444.78,157.27,92.96,203.93
19/01/2010,375.79,382.47,203.64,108.82,239.29,256.63,279.1,448.58,159.11,94.99,207.16
20/01/2010,370.32,380.45,203.37,107.28,236.48,253.42,276.34,440.79,157.43,93.5,204.04
21/01/2010,366.61,372.12,197.35,106.52,233.42,247.82,272.21,432,155.21,90.45,195.21
22/01/2010,352.35,367.69,190.93,105.14,229.1,244.05,271.3,422.56,151.84,88.2,190.8
25/01/2010,354.81,367.53,191.94,106.25,229.88,245.17,271.85,425.17,152.69,89.09,192.29
26/01/2010,354.81,365.91,188.7,104.96,230.09,244.88,271.86,423.12,153.26,88.33,190.22
27/01/2010,357,368.01,193.07,105.34,230.9,245.34,272.18,420.67,152.47,89.19,188.72
28/01/2010,346.5,365.51,192.29,104.35,229.42,242.38,271.5,416.41,150.82,88.59,185.17
29/01/2010,339.38,363.75,190.92,103.95,228.13,240.06,270.88,410.57,149.93,88.13,182.5
01/02/2010,344.4,365.38,193.98,104.41,230.65,243.54,273.05,422.67,151.04,90.04,189.19
02/02/2010,347.12,372.38,196.15,105.71,234.01,248.19,276.57,428.65,152.29,91.72,189.93
03/02/2010,348.13,368.14,193.51,104.85,234.37,247.29,275.15,425.41,151.14,90.13,188.09
04/02/2010,338.11,358.41,185.48,102.36,227.68,239.72,268.74,408.83,147.15,86.41,180.87
05/02/2010,341.82,357.61,187.74,102.87,226.61,238.37,268.52,408.35,146.75,88.34,184.01
08/02/2010,340.02,356.23,183.6,102.08,225.69,235.72,267.64,404.65,145.12,86.11,181.19
09/02/2010,343.51,358.46,185.62,103.41,228.87,239.79,271.35,412.73,146.51,86.21,185.73
10/02/2010,342.45,356.5,187.15,102.96,227.83,239.15,270.88,410.57,145.68,86.25,184.36
11/02/2010,346.34,358.87,187.56,103.44,230.32,242.68,273.26,417.06,146.45,86.95,187.25
12/02/2010,346.55,357.94,187.02,102.9,230.29,240.95,272.61,414.74,145.48,87.39,187.1
15/02/2010,346.55,357.94,187.02,102.9,230.29,240.95,272.61,414.74,145.48,87.39,187.1
16/02/2010,352.01,361.08,191.63,103.92,234.07,246.32,275.89,425.77,148.18,90.17,191.72
17/02/2010,353.34,364,192.36,104.25,235.98,247.86,277.91,424.3,147.8,90.9,191.81
18/02/2010,356.26,365.67,193.44,104.09,237.44,250.33,279.87,426.43,148.66,92.27,194.05
19/02/2010,355.83,365.08,194.6,103.75,238.26,251.53,280.11,427.13,150.78,92.71,194.93
22/02/2010,354.84,364.79,196.82,103.48,237.96,251.67,279.68,421.51,149.79,92.92,194.02
23/02/2010,349.98,360.75,193.31,102.5,236.6317,248.59,278.1,415.17,148.58,91.78,190.67
24/02/2010,353.66,363.48,196.68,102.87,239.7748,250.89,280.08,418.37,148.67,92.59,190.49
25/02/2010,352.81,363.26,196.03,102.43,239.6494,250.1,279.68,417.62,148.24,93.01,190.13
26/02/2010,353.04,363.79,197.43,102.61,240.2188,251.04,278.19,418.27,147.14,93,190.2
01/03/2010,358.23,367.26,198.16,103.24,244.1005,253.45,280.05,422.25,149.09,93.66,193.19
02/03/2010,357.45,368.71,198.73,103.15,243.3745,254.14,281.13,425.58,149.78,93.75,195.1
03/03/2010,357.66,367.04,198.83,103,243.4347,254.51,281.48,426.39,149.64,93.37,197.09
04/03/2010,359.42,366.18,200.65,103.26,245.8031,255.59,282.67,424.77,149.77,93.93,197.58
05/03/2010,364.46,370.59,204.73,103.32,249.6763,259.48,284.11,432.46,151.42,96.52,200.26
08/03/2010,365.66,368.99,205.04,104.47,250.5647,258.25,283.07,431.77,151.31,97.37,200
09/03/2010,367.08,368.54,205.6,105.76,250.3537,260.33,282.58,432.04,150.89,97.97,198.97
